N:5.A42.A73.AK7643 AKJ8.Q96.K54.J92 T643.JT5.J6.QT85 Q972.K873.QT982.
N:AK63.Q52.AK8.KT9 Q75.KT7.Q76.AQ75 T92.J643.J5432.8 J84.A98.T9.J6432
N:K92.JT6.AK762.96 5.AKQ5.T95.87542 8743.84.QJ43.QT3 AQJT6.9732.8.AKJ
N:K72.AQJ832.753.9 A963.6.T2.QT7532 Q84.KT74.AQJ.AJ4 JT5.95.K9864.K86
N:82.AKJ84.T75.954 Q765.T93.A86.QJ2 KJ93.Q6.KJ94.AK6 AT4.752.Q32.T873
N:T62.J94.K9864.K7 J4.62.A532.QJ843 985.AT85.QT.T652 AKQ73.KQ73.J7.A9
N:852.Q3.753.AKJ65 J964.T72.A9.Q974 KQ73.K965.KT862. AT.AJ84.QJ4.T832
N:QT96..T6432.J987 A8543.KT97.75.AT J.Q865432.AQ.KQ6 K72.AJ.KJ98.5432
N:QJT95.865.74.AJ4 A42.7.K52.Q98765 876.JT93.QT9863. K3.AKQ42.AJ.KT32
N:KJT8.K94.653.JT4 Q4.J72.AJT97.K76 7653.T53.K4.9532 A92.AQ86.Q82.AQ8
N:875.KJ.KQ7542.62 Q2.7432.63.QJT53 KJT4.Q965..A9874 A963.AT8.AJT98.K
N:K2.A95.65.AJ8752 A8.83.AKQ73.KT93 JT9764.KQJ62.J.4 Q53.T74.T9842.Q6
N:KQ8.KJ7.AKJ7.T95 JT53.Q6542.T962. A4.8.Q8.AKQJ7432 9762.AT93.543.86
N:KJ3.J76.A63.J875 Q942.943.KQ54.T3 5.AQ85.J92.AQ964 AT876.KT2.T87.K2
N:J5.A743.743.KT72 KT9.KQT5.AKQ6.J8 A6432.982.T92.AQ Q87.J6.J85.96543
N:AKT.J953.53.J762 Q8732.K.Q872.AQ3 J6.Q87.JT4.KT954 954.AT642.AK96.8
N:J5.Q98753.AJ.KQ4 KQ762.K.KQ86.T87 AT4.T4.T97.AJ965 983.AJ62.5432.32
N:J975.T2.96.A8763 AKQ82.J985.84.QJ T3.KQ6.AKQJ75.42 64.A743.T32.KT95
N:AKT7.87.Q87.Q965 Q5.AJ3.K432.A843 J8.K9654.AJT.T72 96432.QT2.965.KJ
